SecurityID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
000001.SZ,0.7205357371798179,0.06134597440275035,-0.13235963936016198,-0.00921655556453036,-0.21292212685963718,0.6228403713738088,-0.16155797076928796,0.00969358575046435
000002.SZ,0.7279068821466596,0.23912555478852796,-0.25207025069082023,0.024109898442730225,-0.17996821648838435,0.23617825595417158,0.28755667971284954,-0.42189130105432804
000003.SZ,0.6887089577070673,-0.03375472316818382,-0.2929739438410383,0.43527832131649585,-0.11585072336966866,-0.3155747856142271,0.255644656963135,0.26622662414842346
000004.SZ,0.8367007806880218,-0.2457508123861955,0.2957638473935921,-0.2744028948454537,0.1701397271795815,0.17294743368237123,0.028092214262121752,-0.1308343441101949
000005.SZ,0.4690865934671734,-0.2270959989598795,0.4352568420448876,-0.20556158028760171,-0.0013308479797598059,-0.34170408270126884,-0.32157860711412856,0.5258372765447777
000006.SZ,0.5210917590782764,-0.11504717188414916,0.3859810572813948,-0.307330504377889,-0.1012258135540624,-0.425533974483113,-0.05858397127348007,0.5263422849265363
000007.SZ,0.5759772619052538,0.26289255553766766,0.4092344542008299,-0.13275440220556584,0.025032115569649075,0.5526776258678393,-0.13971478837442125,0.2973915620283799
000008.SZ,0.5094132851240115,-0.4491475426937945,-0.1958945182085204,0.12225344873025404,-0.022847218999048076,-0.19251807270958557,-0.6037447518991877,-0.2887058930106623
000009.SZ,0.7670332856646579,-0.1843233537918333,-0.09328072327881276,-0.05861392622921116,-0.25838895110760995,-0.027541709161214165,0.10825695781573992,-0.5350747513501806
000010.SZ,0.8140427916221924,-0.17261588465433614,-0.2132779393893349,-0.08481315032200828,-0.2992103438409372,-0.19844793398004246,-0.3525738275920446,-0.040504612206271544
000011.SZ,0.8456005318495782,-0.16452932510191326,-0.018040728399069506,-0.09193050466888332,-0.0737671112853021,0.44748231193950355,-0.06941223689188532,0.19650214072864067
000012.SZ,0.7769688598551482,-0.26405205948279614,0.08845355357747281,0.039807744694509054,-0.1016100858509906,0.14984390811021606,0.40210336499428107,-0.35031741397770433
000013.SZ,0.6220336227646605,0.16883110306074398,0.42898677292361437,0.37443639671957407,0.37099603462824465,-0.29006186271570383,0.19609323620373337,0.010557701500379765
000014.SZ,0.8812576592040494,0.1035137903320425,-0.051746287247677686,-0.22782004033686526,0.07871722654963234,-0.10065443879674188,-0.1132443706799889,-0.3590796276404768
000015.SZ,0.6376090110822558,0.4972201545248249,-0.037422828551853755,-0.5090161646674342,0.18323024261363152,0.2185924053605352,-0.012398534741797185,0.064955814044264
000016.SZ,0.7361297840772485,0.06522040469689479,0.11601225460317333,-0.01769375997661008,0.2065885119579281,-0.08658788650377147,0.4373391338099254,-0.4456966839920829
000017.SZ,0.7142323520969545,0.5108686751072097,0.18240521288401024,0.20056671215169963,0.1131658138887111,0.06821404235304278,-0.3653763219883646,0.06653692677506552
000018.SZ,0.6380611771972138,-0.2337212426562231,0.21812451230751176,-0.46304219312167877,-0.0026786353907916095,0.07932795303053972,-0.11170954629436716,-0.5074315889376096
000019.SZ,0.8333180360670541,0.07303915199648932,-0.11772956929096487,0.11512705187822117,-0.1930882174537741,0.3820837807563832,-0.2996550913548283,-0.008221585609617948
000020.SZ,0.40411192107075344,-0.02811730746010536,0.08140786591714172,0.2739854380700354,-0.5697524230047402,0.14025904667384942,-0.5460960016942706,-0.3342101802788005
000021.SZ,0.47518937181610316,0.4031379337000285,-0.4909529085174243,-0.26188283731183754,0.12988693682117655,0.24731683930825415,0.04654122833671636,0.47101503921591353
000022.SZ,0.7843741488286189,-0.19960260746565311,-0.22894853286860284,0.2202074332384083,0.08407846253106786,-0.1250508458521146,0.045455354923753986,-0.4682244741414061
000023.SZ,0.4937336879853479,0.2863278211000031,0.4869445347430711,0.6526013516988389,-0.016195627775162414,-0.0312823023697316,-0.0479731446240395,-0.08773606243450885
000024.SZ,0.5926426063241779,0.13005626991392052,0.2995682713106547,0.357555649750915,0.28937795763384766,-0.48187089715399706,0.23367907789031062,-0.20911202894264447
000025.SZ,0.8677227648946026,-0.0005203282271470243,-0.2871251760700532,0.06853466531352981,-0.11531370855573787,0.3700671388495272,0.07184232033348266,-0.06716254783176256
000026.SZ,0.6781066748508817,-0.2075445162518216,-0.17468673276855218,0.2216462955014087,-0.15106198183570305,0.3809926235346753,-0.4807634687715663,0.1354454204925174
000027.SZ,0.6342228861318386,-0.10111461717121921,0.02856032787564871,-0.33170718717912356,0.05090300450399555,-0.11112045479414305,0.6760958111968014,0.06817182179769045
000028.SZ,0.5099055476628924,-0.055348130503765545,-0.24167024951831703,0.2602372271560608,0.27204626141503374,-0.6702019612685226,-0.07048369064527439,-0.2875016610859371
000029.SZ,0.7614986813691557,0.20464069600465204,0.28509284655986017,0.4478625957881539,-0.17030973018925574,0.06798896119506986,0.23271042198277406,0.09274192366529173
000030.SZ,0.7762168098546812,0.3174296476194623,0.2835759651171894,0.3651777333209205,-0.03001249428013306,-0.2597476368954981,-0.002423014254931991,0.12074900546946546
000031.SZ,0.8374533685723787,0.22878656827588773,-0.22699853712661927,-0.33988945490474587,0.18106668887266164,-0.09241778062839984,-0.04317291448746297,-0.18996128997592543
000032.SZ,0.5239053715028674,0.35699898052458034,0.04680063355604853,0.24422377677879642,-0.45852082162776187,0.15468507955347416,-0.370129472582764,-0.40629385054717276
000033.SZ,0.6433423959513451,-0.06702275851455466,-0.06428079454287293,0.2601251729667349,-0.5764562414484072,-0.20473080757868056,0.2310878388003548,0.2867111684894462
000034.SZ,0.8124613945729857,0.46519133376827876,0.17553066977744344,0.08482987589126179,0.12638833137591152,0.25138162514824597,-0.07947979904219583,0.0035512270014806504
000035.SZ,0.5579194301808598,-0.3113781298486452,0.09882365694071539,0.052985038950554696,-0.324758290374277,-0.4703956739018949,-0.35922927696385054,0.35129806366458205
000036.SZ,0.8627851576410358,0.26256194792308757,-0.0911085604119844,0.015104412955770589,-0.05581692484456545,-0.14121858399950615,0.391040738261324,0.0465081244536206
000037.SZ,0.5772591090074091,0.08457013561918993,-0.4539951800375853,0.1013170098029924,-0.16434629193686343,0.04993363982099899,0.4808049534013682,-0.4272781037943357
000038.SZ,0.6898374392346469,0.011512148876594536,-0.2507143208063997,0.10576797644694029,-0.17220107421269765,-0.5964009281840145,-0.07546785028421452,-0.24270263458407593
000039.SZ,0.8095385638598486,0.12292490679588222,-0.19397564397434908,0.30441279464801696,-0.19850206003652524,-0.2898025515204575,0.25445868890151363,0.1053815441540379
000040.SZ,0.4587781137803061,0.023627595515805143,-0.04748249819409553,0.06500153462197662,-0.33983643458686347,0.7666593343506557,-0.00034576037224805104,0.2814767044329328
000041.SZ,0.7768722709561781,-0.05554677841621325,-0.14122703651282123,0.020288916054648175,-0.2302130183473827,-0.2586499072788682,0.3721990877444775,-0.3385222958688299
000042.SZ,0.8290552324123924,0.46001044507126226,-0.15835208872400972,-0.19675059073119705,0.025339517368193967,0.026010256301189652,-0.1413459878644039,0.12638955740080293
000043.SZ,0.8045820170250729,0.37990795053138593,-0.0646310480453495,-0.32105658103190743,0.044996332886116305,0.1632472533349912,-0.22916500937835524,-0.14096910721704445
000044.SZ,0.9266127148180554,-0.0024812022661157016,-0.2164140130859632,-0.04883930155885136,-0.2771780873852888,0.09838320819248465,-0.06490633466449226,-0.03798207308333966
000045.SZ,0.779367261791382,-0.138163526419718,-0.11398874415308546,0.22213639827105708,-0.5337361270978992,0.060369061288379336,-0.13110169124809715,-0.07384556592118227
000046.SZ,0.7662201065381913,-0.05410933572116576,0.42735496424015884,-0.11348522846478132,-0.015202984961391998,-0.3936722553049078,-0.13602781452886914,0.20187923100189553
000047.SZ,0.866700298403047,-0.2891317010557416,-0.18898660029743258,-0.0692983678311765,-0.29661352337384794,-0.05377349764298374,0.05824516799465899,-0.17450381779463078
000048.SZ,0.7909787338597042,-0.03652896681075222,-0.30916158486084827,0.2197830010554891,-0.23590149311429934,-0.2020522960605668,-0.10222105748025086,-0.34958408812405345
000049.SZ,0.8454261747237358,-0.16728124736474895,0.043966640749898984,-0.1121665866070651,-0.4557564714273888,0.1643549800145399,0.05393563563108793,0.07156525153816255
000050.SZ,0.3412135867401078,-0.2539362557020145,-0.38983542347434075,-0.11405923174353255,-0.05896255764230663,-0.17072078387161865,0.6845398528075957,0.39101345397740683
600000.SH,0.44618982274949853,-0.36483186876582646,0.6526917645170555,-0.3921450588370742,0.2951794880854468,-0.021526048355946167,-0.020775745562493925,0.0014595961769468039
600001.SH,0.774325979945394,-0.23835841240071748,-0.33100819720930547,0.18960889272544706,0.17918390270373158,-0.22596363183561616,-0.30177968167094804,-0.15443178115008968
600002.SH,0.6711550910779279,-0.4414883679470617,-0.27546929109410856,-0.002998801385292008,-0.2982626922011682,-0.13654028745476263,-0.25102466335467566,-0.3288301632641579
600003.SH,0.7036703607346219,0.24420502398089697,-0.18648957087501694,0.02282116288101628,0.1502711066621027,0.4329417841105271,-0.35894129049270407,-0.26655941217462154
600004.SH,0.8562851269385897,0.05018427231377845,0.17841397481324892,0.1511088073865176,-0.36198835780867494,-0.24466034593689123,0.13065257768359226,0.04034290519179197
600005.SH,0.6970997438196483,-0.14958103565443456,-0.3406195140342628,0.2149181880704897,0.16508980752744387,-0.36529374394361264,0.08601121699075395,-0.4017136874350525
600006.SH,0.8347798512251774,-0.02759627842379551,-0.016876675679886256,-0.301063467329672,0.36643192630193966,-0.1153038572382419,0.12237568452308252,-0.2211647973643148
600007.SH,0.682452762053649,-0.10098621119807993,0.15006108315808495,0.1750855120049787,0.19277138238867098,0.5689503013529753,-0.1112859152092721,-0.3124691045830501
600008.SH,0.7325027611510354,-0.26114440922328086,0.13729252155544083,-0.37168437027784257,0.2757810907930616,-0.1123564909212054,0.2723808560393002,-0.27454375430121447
600009.SH,0.8900127427243987,0.07594440939509332,-0.010447404594256398,0.21882322596947001,-0.0892311429138188,0.3483696251524523,-0.03837656422100691,-0.15271103007774692
600010.SH,0.44363156181855734,0.5291093267424776,0.3116469264615382,0.6160176779233939,-0.031556672741688094,0.022415465983059057,0.0070732349170619805,0.21233102473152704
600011.SH,0.7951364438985726,-0.2050429632143929,0.34639422732140124,-0.2694196048507313,0.080309362469313,-0.22980663165375034,-0.24149381435222994,0.12473808800209808
