SecurityID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
000001.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000002.SZ,0.9999996965920435,-1.3461466295017896e-07,-1.4567716995601803e-05,-5.745458642589174e-06,-2.319169388253093e-05,-1.8859760633336586e-05,3.8454605317795645e-05,-4.93380936903e-05,-3.6674199665559776e-05,5.458202841512847e-05,-0.00011408040279486367,-0.00011749347364214926,0.0005184772043508828,8.722938640042919e-05,-0.00046212471064628716,-0.00028396117701893613
000003.SZ,4.177049810770991e-06,-9.257494740762475e-08,-9.792174586761276e-06,-3.950558622784262e-06,0.9999998753742141,-1.2080394527471869e-05,2.4714229341049302e-05,-3.237410905563462e-05,-2.3901715237868027e-05,3.6030798210144634e-05,-7.484498553933038e-05,-7.536464867418051e-05,0.0003306847725838531,5.6443919167832486e-05,-0.00029950294465933144,-0.0001786794137241328
000004.SZ,2.422376634362968e-10,-5.6453576943754376e-12,-6.705843546440226e-10,-5.500526902915393e-10,-2.4011127131841925e-09,0.9999999999999998,-7.0460276360603494e-09,7.176180040295575e-09,3.7813558027150344e-09,-5.16537855151465e-09,1.0017457095192052e-08,6.715613634441703e-09,-1.572011734403162e-08,-2.370670774225797e-09,1.2260328015720196e-08,6.090912387632162e-09
000005.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000006.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000007.SZ,3.8044062944387425e-09,-8.988735413619098e-11,-9.472753706983882e-09,-4.7104107240804244e-09,-1.8945850780629715e-08,-1.9236818965825007e-08,4.5770701854393816e-08,-6.254368163519083e-08,-5.054386098321794e-08,7.914953678786422e-08,-1.6695257966692982e-07,-2.2431953904090678e-07,4.27360822868083e-06,2.5982679559302125e-06,0.9999999999866704,1.2451945726211237e-06
000008.SZ,1.0788924396574568e-10,-3.1918569032189183e-12,-3.4726766465126316e-10,1.0,7.307979043932004e-09,4.6276627824449265e-10,-6.33476425403872e-10,7.826232005966643e-10,4.699270973955397e-10,-7.232438973838426e-10,1.375609835556558e-09,1.0945404809936392e-09,-3.15042216266652e-09,-4.562890660368438e-10,2.5269322640868097e-09,1.2997065010730145e-09
000009.SZ,3.988112569719675e-09,-9.167252659527488e-10,0.05249441588488088,-1.3026772923908604e-08,-2.033274418789576e-08,-1.3505677899934415e-08,2.8899176112835753e-08,-9.334065609855562e-08,-4.784984236858893e-08,1.423075319236752e-07,-1.8359380200011037e-07,0.9986212176299989,-6.575643683830508e-08,-9.955449644068953e-08,3.402772692334113e-09,5.1321469074760366e-08
000010.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000011.SZ,-3.908871625509702e-06,9.153402574350891e-08,9.102830295603859e-06,3.7003854469874758e-06,1.4615091608204644e-05,1.1867835625901748e-05,0.9999998742460438,3.1618218936406264e-05,2.3203951229144702e-05,-3.5259848459122285e-05,7.247975991879755e-05,7.480524474866125e-05,-0.0003341184709339704,-5.5221600385538084e-05,0.00029828654258300124,0.0001837161852860333
000012.SZ,-0.00521775933422861,0.00015654321423272876,0.01241434464270856,0.005782217215478444,0.02137172402689963,0.017946587685463106,-0.038670627599326275,0.053149522902751024,0.03755057731119239,-0.06141041890821311,0.11996611130596194,0.12859557938669436,-0.6529181032663611,-0.10317264491345225,0.6022337554352597,0.39867776956857204
000013.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000014.SZ,0.0037480865636976488,-8.892774805009241e-05,-0.00903686504433161,-0.004061213088238522,-0.01614164753060716,-0.014420850297618535,0.031302202094206706,-0.04155631718369504,-0.031463206306607115,0.048359807432735755,-0.10006758971879495,-0.11156810302784817,0.6262832015022956,0.10965944306845173,-0.6070744620746519,-0.44511538234776965
000015.SZ,2.7026350231690106e-07,-6.328690014555732e-09,-6.292082888242084e-07,-2.5542553988969415e-07,-1.0086361898775167e-06,-8.138396351143354e-07,0.9999999993941654,-2.2689253794812526e-06,-1.626939904982985e-06,2.4671216927220126e-06,-5.065395383916852e-06,-5.203994950516834e-06,2.3186135905344583e-05,3.831278633597988e-06,-2.0693687789743812e-05,-1.2740872981913581e-05
000016.SZ,-0.0036823264224040953,9.199564727310698e-05,0.008877551622772121,0.00405340248592656,0.015902479947068417,0.014201799591768361,-0.030869479259456305,0.04136364498972207,0.031051007445023527,-0.04830543675676571,0.09890291582506876,0.11044823498612306,-0.6252151640326363,-0.10825126866603291,0.6070776530441978,0.4475923817202628
000017.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000018.SZ,0.000587611085887208,0.009374386575145225,0.039951167010720594,0.0500848385132079,0.07186695348345469,-0.07606210914763697,-0.05666468630990907,0.12588625850479124,-0.18007514934387195,-0.3090425123814356,-0.0009191383142027163,-0.14082003776395868,-0.30592423512697037,0.7596321935131551,0.09692835448986421,-0.37149343722890993
000019.SZ,2.220742078778623e-09,-5.113346654674797e-11,-5.480952786044039e-09,-2.6277360630972286e-09,-1.0595098206019754e-08,-1.0362285856281803e-08,2.398342767190587e-08,-3.224145961513137e-08,-2.5527115086976547e-08,3.950991133652129e-08,-8.318881659968252e-08,-1.0392695750578226e-07,9.887901638047037e-07,2.1951022585977154e-07,-1.3501105013625325e-06,0.9999999999985647
000020.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,5.937403305348189e-11,1.0,1.903420390356195e-11,2.3487159271235215e-12,7.347103584010866e-12,3.483526300941375e-12,-5.94968819247623e-12,8.37736409574657e-12,4.913340630521377e-12,-8.63123061416817e-12,1.500097898447836e-11,1.3048421212623879e-11,-4.354999986951256e-11,-5.515440775977526e-12,3.5461548299622184e-11,1.858036313586353e-11
000022.SZ,-5.902663241470546e-10,1.6130620493850044e-11,1.5516553770169163e-09,9.964917370937853e-10,3.945267232985536e-09,5.996756007699202e-09,-2.5040177400057874e-08,4.674605065382637e-08,1.4034917069676627e-07,0.9999999999998265,-5.57243921053979e-07,-5.820938816731013e-08,7.973261402082141e-08,1.1003269559043744e-08,-5.8583841675441075e-08,-2.6969088058926563e-08
000023.SZ,-4.407070118453816e-09,1.0536547539460059e-10,1.102965720856269e-08,5.60711248183087e-09,2.2528558284041644e-08,2.3553617713214534e-08,-5.7505886060323214e-08,7.926834001683947e-08,6.50541626707377e-08,-1.0287037302326388e-07,2.1768155949570575e-07,3.1347791580598725e-07,0.9999999999906707,1.035555432260874e-06,-4.081267448809728e-06,-8.7093581113629e-07
000024.SZ,-7.080759466127491e-10,1.4005642708457195e-11,1.7664774186751962e-09,8.430908735000511e-10,3.544280407552418e-09,3.674867674713248e-09,-8.734122765834478e-09,1.1641721637182041e-08,9.756169817969247e-09,-1.4703717904254562e-08,3.211273201816529e-08,4.396081797353277e-08,-1.071170590082363e-06,0.9999999999961112,-2.5664401382578138e-06,-1.9996102742933058e-07
000025.SZ,1.0787516776294451e-10,-3.1932432466628053e-12,-3.47244876163388e-10,1.0,7.308024594184044e-09,4.6279947130463103e-10,-6.335298478665331e-10,7.827222954701869e-10,4.700060852455791e-10,-7.233224012400647e-10,1.375880952609034e-09,1.0947952627847418e-09,-3.151253893834094e-09,-4.565381761698556e-10,2.5278606935188974e-09,1.3001620448980238e-09
600000.SH,-0.008600793332407148,0.00022255681089035405,0.009765683567265966,-0.002497140691520571,0.016846830874242873,0.0700599368992407,-0.039504873850484686,0.048317159652088014,0.08386529017734771,-0.04972519123446478,0.11190889904482695,0.21897310986196292,-0.7274213786604603,-0.11187340072338804,0.5060332359492015,0.3507577757041614
