TradingDate,SecurityID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
2024.06.17,000001.SZ,0.08007274,0.121750265,0.11517421,0.10690787,0.017903293,-0.21515834,0.19434232,-0.536676,-0.06554406,0.31851524,0.11999679,0.11902232,-0.16020797,0.07579321,0.3828214,-0.21538012
2024.06.17,000002.SZ,0.29317752,0.32697392,-0.22105207,-0.032324784,0.2925695,-0.2793033,0.11048293,-0.46783176,-0.13747235,0.27276334,0.015322931,0.31932008,-0.17836827,-0.17026225,0.10337817,-0.17247656
2024.06.17,000003.SZ,0.061718464,0.20966727,-0.1551897,-0.17366003,0.20637563,0.09315087,-0.1917014,-0.4200257,-0.015613995,-0.019618727,0.2978942,0.35215893,-0.23365901,-0.41009003,0.042594314,-0.22454262
2024.06.17,000004.SZ,-0.17170358,-0.1393287,0.056878608,0.061508834,-0.1507818,-0.11287095,-0.2905624,-0.572862,-0.03310187,0.07396518,0.25029314,0.30908298,-0.4136311,-0.1085562,0.47007525,-0.2201359
2024.06.17,000005.SZ,-0.47550046,-0.29689598,0.35544086,-0.061903782,-0.36314106,0.30416504,-0.40287983,-0.5438244,0.13841076,-0.19516334,0.5817583,0.14158496,-0.28521553,-0.24167824,0.48474613,-0.25378788
2024.06.17,000006.SZ,-0.45804158,-0.30499628,0.24747181,-0.14330979,-0.35421485,0.41582522,-0.4497282,-0.53165567,0.11267764,-0.27930045,0.63418525,0.23246577,-0.30691597,-0.39237285,0.3974892,-0.29946592
2024.06.17,000007.SZ,-0.38059142,-0.22790872,0.48323417,0.34100118,-0.2949842,0.030866506,0.13396122,-0.59334785,-0.026592698,0.2023553,0.41720158,-0.1785443,-0.38253796,0.3212515,0.7057158,-0.11508185
2024.06.17,000008.SZ,0.23635182,0.3357603,-0.083168365,-0.19664863,0.22278681,-0.4131748,-0.14523603,-0.4689967,0.061189823,0.221736,-0.072929166,0.35767692,0.030493686,-0.22695401,0.043181937,-0.19697961
2024.06.17,000009.SZ,0.28203234,0.30235717,-0.33480334,-0.23543285,0.27934462,-0.30818114,-0.20983635,-0.44702864,-0.061457183,0.14594811,-0.007679401,0.5153315,-0.09116473,-0.38791862,-0.06936748,-0.24123178
2024.06.17,000010.SZ,0.1703758,0.24486892,-0.0827106,-0.28294966,0.09756803,-0.12559009,-0.17644374,-0.4808727,0.055705227,0.07074727,0.16592796,0.36226198,0.0519434,-0.41485777,0.0018104779,-0.3280857
