TradingDate,SecurityID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
2024.06.17,000001.SZ,-0.9993709,0.9935207,-0.9994537,0.99898523,0.9981742,0.9991484,-0.99840117,0.99896926,0.9995795,-0.99818516,0.9988984,0.994983,0.99784267,0.9914145,-0.99552935,-0.9997381
2024.06.17,000002.SZ,-0.99820447,0.98406833,-0.99794,0.99701256,0.996353,0.99792624,-0.9961458,0.99692976,0.99855584,-0.9955099,0.9965301,0.98932666,0.9950141,0.9828455,-0.98826677,-0.999052
2024.06.17,000003.SZ,0.9982607,-0.98304504,0.99760866,-0.9966313,-0.99600524,-0.9975887,0.9943188,-0.99698687,-0.99783635,0.9939637,-0.9964645,-0.9886594,-0.9950342,-0.9822839,0.9885089,0.99876624
2024.06.17,000004.SZ,-0.9988861,0.9895489,-0.99882704,0.9981288,0.9973292,0.9986585,-0.9974541,0.9981397,0.9991799,-0.99709153,0.9979614,0.9921175,0.9966725,0.98721385,-0.99210024,-0.99945605
2024.06.17,000005.SZ,-0.9992758,0.99254453,-0.9993442,0.99882853,0.99805075,0.99906933,-0.9981739,0.99881697,0.9995061,-0.9979412,0.99868274,0.994734,0.99767745,0.9908889,-0.994863,-0.9996877
2024.06.17,000006.SZ,-0.99783945,0.9818421,-0.9973371,0.9964206,0.99597555,0.9977049,-0.9956224,0.9964247,0.9982784,-0.9951136,0.9959188,0.98823696,0.9944626,0.97984713,-0.98640156,-0.9988002
2024.06.17,000007.SZ,-0.9955603,0.9704712,-0.99387497,0.99233735,0.9922571,0.9951403,-0.9922038,0.99229014,0.99594045,-0.99038005,0.9918266,0.97580796,0.98886687,0.96603656,-0.9740147,-0.9972387
2024.06.17,000008.SZ,-0.99756753,0.97922647,-0.9968819,0.9957338,0.99566376,0.9971955,-0.9948842,0.99584275,0.99783254,-0.9937927,0.9950231,0.98633003,0.99375236,0.9798783,-0.98366964,-0.99863005
2024.06.17,000009.SZ,-0.9989506,0.99014556,-0.9989142,0.9982498,0.99740994,0.9987218,-0.99756134,0.9982177,0.9992388,-0.99721956,0.9980853,0.99238735,0.9967787,0.9875804,-0.99250984,-0.99949235
2024.06.17,000010.SZ,0.99904716,-0.98983365,0.99867153,-0.99797034,-0.9976494,-0.998512,0.99625325,-0.9980802,-0.9986066,0.995647,-0.997507,-0.99296635,-0.9966259,-0.98904485,0.9928721,0.99940777
2024.06.17,000011.SZ,-0.9989814,0.990265,-0.99896014,0.9982822,0.99740976,0.9986949,-0.997561,0.9982395,0.9992472,-0.99720484,0.99810606,0.99243826,0.9967515,0.98787194,-0.992688,-0.99950874
2024.06.17,000012.SZ,-0.99908984,0.99121106,-0.9991101,0.9984857,0.99761283,0.99882716,-0.9977913,0.9984618,0.99935114,-0.9974778,0.99834824,0.99315184,0.9970858,0.9888112,-0.9934705,-0.9995755
2024.06.17,000013.SZ,0.9986704,-0.9864244,0.9981508,-0.99735713,-0.99685097,-0.9981036,0.99535686,-0.9975648,-0.9982438,0.9948786,-0.99703723,-0.99085253,-0.99583894,-0.9856504,0.9907958,0.9991097
2024.06.17,000014.SZ,-0.99593985,0.97065,-0.99479955,0.9935722,0.9933724,0.9956519,-0.9926714,0.99320155,0.9964334,-0.99102163,0.9923482,0.98033565,0.9901361,0.970517,-0.9773932,-0.99767035
2024.06.17,000015.SZ,0.9988579,-0.98806393,0.9983699,-0.9975728,-0.9971766,-0.9982343,0.9956574,-0.9977575,-0.99836385,0.99500364,-0.9971497,-0.99167836,-0.9961843,-0.98733765,0.99152845,0.999245
2024.06.17,000016.SZ,0.9988,-0.9870686,0.9982863,-0.99755985,-0.9971393,-0.9983419,0.9957203,-0.9978256,-0.9984412,0.9954487,-0.9973469,-0.9915876,-0.9963257,-0.98630875,0.9913886,0.99917644
2024.06.17,000017.SZ,-0.9989381,0.98997295,-0.99889976,0.99823934,0.9973956,0.99869734,-0.99753374,0.99819815,0.99923426,-0.9972389,0.9980525,0.99242085,0.99672395,0.98739684,-0.9925415,-0.99948436
2024.06.17,000018.SZ,0.99894255,-0.9883999,0.9985249,-0.99787885,-0.99749374,-0.998416,0.99599487,-0.9979859,-0.9985296,0.99554825,-0.99735516,-0.99282426,-0.9965216,-0.98828435,0.9925025,0.99932194
2024.06.17,000019.SZ,0.9978577,-0.9798325,0.997097,-0.9960384,-0.99531883,-0.99724805,0.9934904,-0.9965344,-0.997516,0.9934394,-0.99605787,-0.98702824,-0.9943498,-0.979106,0.9867698,0.9984549
2024.06.17,000020.SZ,0.9986241,-0.9855395,0.99809813,-0.9973474,-0.9968602,-0.9981485,0.99537235,-0.9976236,-0.99828064,0.99514747,-0.99711347,-0.99104124,-0.99595916,-0.9852034,0.9907808,0.999061
2024.06.17,000021.SZ,-0.9993468,0.99345654,-0.9994268,0.9989417,0.9980964,0.999112,-0.998369,0.99892604,0.9995653,-0.99815816,0.9988759,0.99465424,0.9977267,0.9909869,-0.9953728,-0.9997252
